QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	458232	419	8.0	runtest
test	Q0	414803	420	8.0	runtest
test	Q0	412561	421	8.0	runtest
test	Q0	404352	422	8.0	runtest
test	Q0	386127	423	8.0	runtest
test	Q0	382600	424	8.0	runtest
test	Q0	364570	425	8.0	runtest
test	Q0	363876	426	8.0	runtest
test	Q0	352823	427	8.0	runtest
test	Q0	338377	428	8.0	runtest
test	Q0	309177	429	8.0	runtest
test	Q0	301780	430	8.0	runtest
test	Q0	286148	431	8.0	runtest
test	Q0	279314	432	8.0	runtest
test	Q0	259564	433	8.0	runtest
test	Q0	248354	434	8.0	runtest
test	Q0	239753	435	8.0	runtest
test	Q0	233288	436	8.0	runtest
test	Q0	214641	437	8.0	runtest
test	Q0	174849	438	8.0	runtest
test	Q0	167652	439	8.0	runtest
test	Q0	132479	440	8.0	runtest
test	Q0	127426	441	8.0	runtest
test	Q0	110977	442	8.0	runtest
test	Q0	104025	443	8.0	runtest
test	Q0	92753	444	8.0	runtest
test	Q0	90527	445	8.0	runtest
test	Q0	90524	446	8.0	runtest
test	Q0	63647	447	8.0	runtest
test	Q0	63637	448	8.0	runtest
test	Q0	63621	449	8.0	runtest
test	Q0	43482	450	8.0	runtest
test	Q0	43395	451	8.0	runtest
test	Q0	36383	452	8.0	runtest
test	Q0	29707	453	8.0	runtest
test	Q0	23010	454	8.0	runtest
test	Q0	14133	455	8.0	runtest
test	Q0	13827	456	8.0	runtest
test	Q0	7109	457	8.0	runtest
test	Q0	6221	458	8.0	runtest
test	Q0	4709	459	8.0	runtest
test	Q0	4202	460	8.0	runtest
test	Q0	2800	461	8.0	runtest
test	Q0	886277	462	7.0	runtest
test	Q0	880511	463	7.0	runtest
test	Q0	877121	464	7.0	runtest
test	Q0	875323	465	7.0	runtest
test	Q0	866596	466	7.0	runtest
test	Q0	866592	467	7.0	runtest
test	Q0	863271	468	7.0	runtest
test	Q0	849317	469	7.0	runtest
test	Q0	842434	470	7.0	runtest
test	Q0	831314	471	7.0	runtest
test	Q0	829364	472	7.0	runtest
test	Q0	821676	473	7.0	runtest
test	Q0	815306	474	7.0	runtest
test	Q0	814753	475	7.0	runtest
test	Q0	795977	476	7.0	runtest
test	Q0	795643	477	7.0	runtest
test	Q0	789655	478	7.0	runtest
test	Q0	778297	479	7.0	runtest
test	Q0	772761	480	7.0	runtest
test	Q0	771369	481	7.0	runtest
test	Q0	768170	482	7.0	runtest
test	Q0	760127	483	7.0	runtest
test	Q0	748813	484	7.0	runtest
test	Q0	732606	485	7.0	runtest
test	Q0	727580	486	7.0	runtest
test	Q0	722032	487	7.0	runtest
test	Q0	713986	488	7.0	runtest
test	Q0	704360	489	7.0	runtest
test	Q0	702090	490	7.0	runtest
test	Q0	694332	491	7.0	runtest
test	Q0	691826	492	7.0	runtest
test	Q0	689210	493	7.0	runtest
test	Q0	652096	494	7.0	runtest
test	Q0	647050	495	7.0	runtest
test	Q0	636605	496	7.0	runtest
test	Q0	634397	497	7.0	runtest
test	Q0	632984	498	7.0	runtest
test	Q0	631390	499	7.0	runtest
test	Q0	609477	500	7.0	runtest
test	Q0	603415	501	7.0	runtest
test	Q0	579010	502	7.0	runtest
test	Q0	564691	503	7.0	runtest
test	Q0	550815	504	7.0	runtest
test	Q0	542930	505	7.0	runtest
test	Q0	537629	506	7.0	runtest
test	Q0	535637	507	7.0	runtest
test	Q0	533765	508	7.0	runtest
test	Q0	532712	509	7.0	runtest
test	Q0	529115	510	7.0	runtest
test	Q0	526889	511	7.0	runtest
test	Q0	524723	512	7.0	runtest
test	Q0	512113	513	7.0	runtest
test	Q0	504376	514	7.0	runtest
test	Q0	502461	515	7.0	runtest
test	Q0	490825	516	7.0	runtest
test	Q0	490794	517	7.0	runtest
test	Q0	486070	518	7.0	runtest
test	Q0	482127	519	7.0	runtest
test	Q0	473462	520	7.0	runtest
test	Q0	470258	521	7.0	runtest
test	Q0	425014	522	7.0	runtest
test	Q0	395242	523	7.0	runtest
test	Q0	380599	524	7.0	runtest
test	Q0	373065	525	7.0	runtest
test	Q0	367312	526	7.0	runtest
test	Q0	356831	527	7.0	runtest
test	Q0	350380	528	7.0	runtest
test	Q0	343283	529	7.0	runtest
test	Q0	338285	530	7.0	runtest
test	Q0	327831	531	7.0	runtest
test	Q0	319505	532	7.0	runtest
test	Q0	313799	533	7.0	runtest
test	Q0	305036	534	7.0	runtest
test	Q0	282780	535	7.0	runtest
test	Q0	282422	536	7.0	runtest
test	Q0	275218	537	7.0	runtest
test	Q0	257800	538	7.0	runtest
test	Q0	250926	539	7.0	runtest
test	Q0	244623	540	7.0	runtest
test	Q0	239870	541	7.0	runtest
test	Q0	235818	542	7.0	runtest
test	Q0	216150	543	7.0	runtest
test	Q0	197817	544	7.0	runtest
test	Q0	190652	545	7.0	runtest
test	Q0	183807	546	7.0	runtest
test	Q0	146723	547	7.0	runtest
test	Q0	146377	548	7.0	runtest
